City,Latitude,Lng,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
Nyurba,63.2842,118.3319,35.44,74,100,4.92,RU,1619742791
Okhotsk,59.3833,143.3,38.19,76,84,1.16,RU,1619742730
Oktyabr'skiy,54.4815,53.471,37.47,83,67,4.56,RU,1619742830
Olafsvik,64.8945,-23.7142,40.71,76,100,2.37,IS,1619742831
Oliveira do Hospital,40.3618,-7.8601,45.0,89,91,3.0,PT,1619742611
Oranjemund,-28.55,16.4333,55.08,88,0,12.33,NA,1619742832
Ørje,59.4802,11.6602,37.99,56,9,4.0,NO,1619742832
Pa Sang,18.5262,98.9394,80.01,83,40,5.75,TH,1619742833
Paka,4.6374,103.4368,77.0,94,20,2.3,MY,1619742833
Pala,9.3642,14.9046,82.74,44,71,2.46,TD,1619742834
Palmer,42.1584,-72.3287,60.01,100,90,7.9,US,1619742835
Pangnirtung,66.1451,-65.7125,33.31,80,100,4.43,CA,1619742836
Panindícuaro,19.9667,-101.7667,78.8,36,75,9.22,MX,1619742836
Pavlivka,49.4414,28.4596,47.1,90,26,10.78,UA,1619742837
Pavlogradka,54.2024,73.5592,43.16,64,0,6.78,RU,1619742734
Pergamino,-33.89,-60.5736,60.01,73,0,8.01,AR,1619742725
Petatlán,17.5167,-101.2667,86.0,62,1,4.32,MX,1619742610
Pevek,69.7008,170.3133,21.06,87,100,8.08,RU,1619742838
Ponta do Sol,32.6667,-17.1,55.0,73,25,1.01,PT,1619742838
Port Alfred,-33.5906,26.891,63.18,72,100,14.18,ZA,1619742839
Port Blair,11.6667,92.75,82.56,74,100,4.81,IN,1619742839
Port Elizabeth,-33.918,25.5701,57.0,94,96,10.45,ZA,1619742801
Port Hardy,50.6996,-127.4199,53.6,87,90,5.75,CA,1619742840
Port Hedland,-20.3167,118.5667,80.6,39,0,5.75,AU,1619742841
Port Lincoln,-34.7333,135.8667,71.2,39,10,12.12,AU,1619742841
Prado,-17.3411,-39.2208,75.65,75,64,11.27,BR,1619742842
Praia,14.9215,-23.5087,71.6,73,40,14.97,CV,1619742842
Praia da Vitória,38.7333,-27.0667,57.2,82,20,6.85,PT,1619742843
Presque Isle,46.6811,-68.0159,60.8,31,1,4.34,US,1619742843
Preston,53.7667,-2.7167,42.01,87,10,4.27,GB,1619742844
La Providencia,28.7167,-111.5833,93.99,28,3,3.0,MX,1619742844
Provideniya,64.3833,-173.3,33.8,69,40,4.47,RU,1619742845
Puerto Ayora,-0.7393,-90.3518,75.9,83,14,7.76,EC,1619742673
Puerto Peñasco,31.3167,-113.5333,81.0,46,0,11.01,MX,1619742845
Punta Alta,-38.8759,-62.0736,65.44,66,9,15.28,AR,1619742846
Punta Arenas,-53.15,-70.9167,41.0,93,90,8.05,CL,1619742734
Puqi,29.7167,113.8833,76.26,57,0,9.31,CN,1619742846
Qaanaaq,77.484,-69.3632,26.69,65,100,9.33,GL,1619742625
Qasigiannguit,68.8193,-51.1922,35.6,69,100,3.44,GL,1619742847
Rawson,-43.3002,-65.1023,63.9,57,100,2.75,AR,1619742649
Ribeira Grande,38.5167,-28.7,57.65,65,100,10.25,PT,1619742772
Rikitea,-23.1203,-134.9692,76.44,67,89,10.69,PF,1619742600
Rincon,32.296,-81.2354,80.6,57,75,5.75,US,1619742848
Río Gallegos,-51.6226,-69.2181,44.6,87,75,8.05,AR,1619742584
Rio Grande,-32.035,-52.0986,50.0,93,0,6.64,BR,1619742849
Riyadh,24.6877,46.7219,73.4,100,0,3.53,SA,1619742601
Rize,40.9044,40.8949,42.67,65,6,6.58,TR,1619742850
Roura,4.7263,-52.3274,77.0,94,0,0.67,GF,1619742850
Ryde,50.73,-1.1621,46.0,75,83,6.44,GB,1619742851
Sabang,5.8933,95.3214,82.53,70,100,1.52,ID,1619742851
Sabha,27.0377,14.4283,81.99,6,0,11.63,LY,1619742852
Saint George,37.1041,-113.5841,87.01,12,1,10.36,US,1619742726
Saint-Augustin,51.226,-58.6502,41.79,82,100,5.06,CA,1619742852
Saint-Joseph,-21.3667,55.6167,75.2,78,21,8.05,RE,1619742606
Saint-Louis,16.3333,-15.0,82.4,36,0,4.61,SN,1619742853
Saint-Philippe,-21.3585,55.7679,75.2,78,44,8.05,RE,1619742751
Saint-Pierre,-21.3393,55.4781,75.2,78,1,8.05,RE,1619742854
Saldanha,-33.0117,17.9442,55.4,71,0,9.22,ZA,1619742854
Salym,60.0625,71.4789,39.36,82,62,9.93,RU,1619742855
Sambava,-14.2667,50.1667,74.89,86,10,9.19,MG,1619742856
San Cristobal,7.7669,-72.225,75.2,100,75,3.44,VE,1619742857
San Francisco,37.7749,-122.4194,66.99,59,75,23.02,US,1619742338
San Isidro,-12.1167,-77.05,70.0,82,0,8.05,PE,1619742858
San Juan,-31.5375,-68.5364,68.7,38,0,2.48,AR,1619742828
San Juan de Abajo,20.8167,-105.1833,80.6,74,1,13.8,MX,1619742858
San Patricio,28.017,-97.5169,81.0,83,40,9.22,US,1619742859
City of San Pedro,14.35,121.0167,86.0,74,40,5.75,PH,1619742859
San Pedro Buenavista,16.0833,-93.1167,89.6,40,40,11.5,MX,1619742860
San Quintín,30.4833,-115.95,67.55,63,0,9.51,MX,1619742860
San Ramon,37.7799,-121.978,82.4,18,1,13.8,US,1619742861
San Vicente,-26.6167,-54.1333,53.74,54,0,3.29,AR,1619742861
Santa Cruz de la Sierra,-17.8,-63.1667,73.4,56,20,5.75,BO,1619742862
Santa Isabel,-23.3156,-46.2214,62.6,88,75,6.91,BR,1619742862
Santa Isabel Rio Negro,-0.4139,-65.0192,72.32,99,98,2.37,BR,1619742863
São Filipe,14.8961,-24.4956,72.93,76,100,6.6,CV,1619742840
São José da Coroa Grande,-8.8978,-35.1478,78.12,84,95,8.3,BR,1619742866
São Sebastião,-23.76,-45.4097,67.05,85,34,2.66,BR,1619742866
Sarangani,5.4033,125.4636,82.81,75,100,8.52,PH,1619742866
Saskylakh,71.9167,114.0833,32.54,91,100,8.46,RU,1619742852
Scranton,41.409,-75.6624,71.6,68,90,10.36,US,1619742653
Sedro-Woolley,48.5039,-122.2361,68.0,63,100,4.29,US,1619742600
Seoul,37.5683,126.9778,53.6,71,75,3.44,KR,1619742495
Severo-Kuril'sk,50.6789,156.125,38.46,81,19,5.48,RU,1619742821
Shache,38.4167,77.2406,66.09,14,0,4.9,CN,1619742868
Shakawe,-18.3667,21.85,65.26,63,5,3.74,BW,1619742869
Shebunino,46.4339,141.8603,44.87,73,100,11.63,RU,1619742869
Shingū,33.7333,135.9833,64.4,63,20,5.75,JP,1619742869
Sibolga,1.7427,98.7792,75.67,92,100,3.76,ID,1619742870
Sinazongwe,-17.2614,27.4618,73.74,67,5,3.76,ZM,1619742870
Sinnamary,5.3833,-52.95,75.85,89,100,5.59,GF,1619742871
Sisimiut,66.9395,-53.6735,36.0,76,100,3.02,GL,1619742871
Sitka,57.0531,-135.33,46.4,81,90,10.36,US,1619742839
Smithers,54.7804,-127.1743,59.0,51,90,16.11,CA,1619742604
Sola,-13.8833,167.55,84.2,70,75,9.22,VU,1619742872
Solnechnyy,50.7214,136.6319,36.39,74,100,9.46,RU,1619742873
Sørland,67.667,12.6934,36.46,77,100,20.36,NO,1619742873
Sorong,-0.8833,131.25,82.74,71,100,5.39,ID,1619742615
Souillac,-20.5167,57.5167,77.0,83,75,12.66,MU,1619742874
Srednebelaya,50.6594,128.0106,41.0,70,40,11.18,RU,1619742874
Srednekolymsk,67.45,153.6833,30.58,94,99,5.64,RU,1619742875
Starkville,33.4504,-88.8184,75.99,83,1,5.75,US,1619742579
Stornoway,58.2093,-6.3865,42.8,75,40,14.97,GB,1619742875
Sturgeon Falls,46.3646,-79.9326,55.4,54,90,5.75,CA,1619742876
Forsytheganj,52.6333,29.7333,50.32,79,100,13.22,BY,1619742876
Tabuk,17.4189,121.4443,83.75,61,10,3.6,PH,1619742877
Tadine,-21.55,167.8833,76.87,52,69,17.22,NC,1619742877
Tafresh,34.692,50.013,56.57,42,0,1.07,IR,1619742878
Ţahţā,26.7693,31.5021,73.4,15,0,5.75,EG,1619742878
Takaka,-40.85,172.8,62.01,64,100,1.01,NZ,1619742880
Takoradze,4.8845,-1.7554,80.64,80,100,5.93,GH,1619742881
Talaya,61.3833,152.75,29.44,86,100,4.12,RU,1619742882
Talnakh,69.4865,88.3972,29.89,92,90,3.76,RU,1619742883
Tandil,-37.3217,-59.1332,57.99,80,1,7.45,AR,1619742604
Taoudenni,22.6783,-3.9836,88.29,24,68,23.71,ML,1619742886
Tasiilaq,65.6145,-37.6368,32.0,86,75,10.36,GL,1619742851
Tateyama,34.9833,139.8667,68.0,63,20,16.11,JP,1619742887
Tautira,-17.7333,-149.15,87.8,62,40,4.61,PF,1619742887
Te Anau,-45.4167,167.7167,58.6,72,7,3.69,NZ,1619742888
Teknāf,20.8624,92.3058,80.42,79,5,3.06,BD,1619742888
Terney,45.0503,136.6092,46.63,65,100,9.08,RU,1619742889
Tessalit,20.1986,1.0114,90.18,8,11,7.63,ML,1619742889
Tevaitoa,-16.7833,-151.5,81.48,74,100,7.63,PF,1619742890
The Valley,18.217,-63.0578,79.0,73,20,12.66,AI,1619742890
Thompson,55.7435,-97.8558,33.8,40,20,16.11,CA,1619742787
Tiksi,71.6872,128.8694,31.77,81,83,5.91,RU,1619742891
Togur,58.3631,82.8265,40.08,78,100,17.43,RU,1619742891
Torbay,47.6666,-52.7314,39.0,81,1,5.75,CA,1619742892
Tornio,65.8481,24.1466,33.8,69,0,4.61,FI,1619742721
Toyo,10.7333,125.0167,84.69,69,76,3.83,PH,1619742892
Trairi,-3.2778,-39.2689,76.66,87,100,5.97,BR,1619742839
Tuatapere,-46.1333,167.6833,55.0,75,71,15.99,NZ,1619742894
Tubualá,9.5167,-79.0333,78.8,78,75,2.3,PA,1619742894
Tucuruí,-3.7661,-49.6725,73.69,95,99,2.37,BR,1619742894
Tuktoyaktuk,69.4541,-133.0374,28.4,69,1,13.8,CA,1619742895
Tura,25.5198,90.2201,84.69,34,6,3.42,IN,1619742896
Turinsk,58.0458,63.696,37.26,75,89,8.88,RU,1619742896
Tuy Hoa,13.0833,109.3,80.87,77,48,5.39,VN,1619742675
Ulaangom,49.9811,92.0667,55.26,38,100,0.63,MN,1619742897
Upernavik,72.7868,-56.1549,25.88,65,100,4.61,GL,1619742857
Ushirombo,-3.4919,31.9639,64.69,93,100,2.82,TZ,1619742898
Ushuaia,-54.8,-68.3,41.0,65,40,4.61,AR,1619742846
Usinsk,65.9939,57.5281,27.01,70,23,4.97,RU,1619742901
Ust-Kuyga,70.0167,135.6,28.18,88,10,4.72,RU,1619742902
Ust-Nera,64.5667,143.2,36.14,97,99,2.35,RU,1619742735
Ust-Tsilma,65.441,52.1498,31.17,67,95,6.31,RU,1619742905
Uvalde,29.3669,-99.767,71.01,10,84,10.0,US,1619742905
Vaini,-21.2,-175.2,75.2,100,90,8.05,TO,1619742617
Vanimo,-2.6741,141.3028,86.4,66,32,3.67,PG,1619742906
Vao,-22.6667,167.4833,75.38,54,100,20.54,NC,1619742906
Vardø,70.3705,31.1107,30.67,93,100,22.53,NO,1619742907
Verkhnyaya Inta,65.9811,60.3094,19.85,95,100,2.08,RU,1619742907
Vestmannaeyjar,63.4427,-20.2734,43.36,79,95,5.93,IS,1619742908
Hong Kong,22.2855,114.1577,75.99,83,100,1.99,HK,1619742900
Vila Franca do Campo,37.7167,-25.4333,53.6,71,20,6.91,PT,1619742873
Vila Velha,-20.3297,-40.2925,71.6,83,75,11.5,BR,1619742849
Vilyuysk,63.7553,121.6247,31.86,86,100,4.52,RU,1619742909
Vondrozo,-22.8167,47.2833,65.64,99,88,0.83,MG,1619742796
Vorotynets,56.0603,45.8633,34.77,79,78,5.59,RU,1619742909
Wad Rāwah,15.1603,33.1397,88.54,24,100,11.27,SD,1619742910
Wahiawā,21.5028,-158.0236,82.4,57,75,5.75,US,1619742911
Wana,32.2989,69.5725,67.75,47,96,1.99,PK,1619742911
Wattegama,6.7989,81.4808,75.9,89,93,1.52,LK,1619742911
West Wendover,40.7391,-114.0733,75.2,19,1,6.91,US,1619742912
Westport,41.1415,-73.3579,61.0,88,90,11.77,US,1619742860
Wewak,-3.5534,143.6268,85.39,68,81,2.37,PG,1619742913
Wuda,39.4994,106.7117,54.77,28,50,22.03,CN,1619742913
Xam Nua,20.4197,104.0439,70.23,81,10,0.72,LA,1619742914
Xining,36.6167,101.7667,53.67,25,6,3.22,CN,1619742914
Yaan,7.3833,8.5667,79.74,65,100,6.64,NG,1619742914
Yabrūd,33.9674,36.6574,64.4,36,0,4.61,SY,1619742915
Yar-Sale,66.8333,70.8333,26.82,96,100,7.4,RU,1619742753
Yarmouth,41.7057,-70.2286,52.0,100,90,4.61,US,1619742849
Yellowknife,62.456,-114.3525,28.99,59,75,13.8,CA,1619742916
Zabaykal'sk,49.6333,117.3167,35.04,70,99,5.68,RU,1619742916
Zell am See,47.3256,12.7944,46.0,85,100,1.01,AT,1619742917
Zhigansk,66.7697,123.3711,31.35,96,100,7.47,RU,1619742917
Zhuhai,22.2769,113.5678,80.01,88,20,1.14,CN,1619742918
